      PID    PPID    PGID     WINPID   TTY         UID    STIME COMMAND
       28       1      28      26440  cons0     197609 13:21:32 /usr/bin/bash
       92      88      88      23700  cons0     197609 13:23:05 /usr/bin/bash
       91      88      88      23952  cons0     197609 13:23:05 /usr/bin/ps
       88      28      88      13272  cons0     197609 13:23:04 /usr/bin/bash
      PID    PPID    PGID     WINPID   TTY         UID    STIME COMMAND
      176     174     171      13984  cons0     197609 13:38:04 /usr/bin/bash
      174     171     171       2564  cons0     197609 13:38:04 /usr/bin/bash
       28       1      28      26440  cons0     197609 13:21:32 /usr/bin/bash
      175     174     171      19444  cons0     197609 13:38:04 /usr/bin/ps
      171      28     171      13920  cons0     197609 13:38:04 /usr/bin/bash
